id,year,event_name,lake,share_url,tournament_date
FI3LI4riKS172vDMB4J5,2021,2021 NVKBA Season Opener,Lake Anna,https://share.fishingchaos.com/tournament/FI3LI4riKS172vDMB4J5,2021-04-17
950luGMBZYQg2JYANliW,2021,2021 NVKBA Trail Stop #2,Tidal Potomac River,https://share.fishingchaos.com/tournament/950luGMBZYQg2JYANliW,2021-05-01
4qDReqqFOqc1IeMNGPtn,2021,2021 NVKBA Trail Stop #3 (Bronzeback Yak Challenge),Shenandoah River,https://share.fishingchaos.com/tournament/4qDReqqFOqc1IeMNGPtn,2021-06-19
wFBEc7wagi3EqX7rRlbT,2021,2021 NVKBA Trail Stop #4 (Battle of Five Lakes),Multiple (Battle of Five Lakes),https://share.fishingchaos.com/tournament/wFBEc7wagi3EqX7rRlbT,2021-07-10
wAhc9fFkB9aXjQOgXNsE,2021,2021 NVKBA Trail Stop #5 (Tidal Potomac River II),Tidal Potomac River,https://share.fishingchaos.com/tournament/wAhc9fFkB9aXjQOgXNsE,2021-08-14
rqT7n5mTASW5ihMgIwor,2021,2021 NVKBA Classic,Occoquan Reservoir,https://share.fishingchaos.com/tournament/rqT7n5mTASW5ihMgIwor,2021-09-18
Z3Y3tOOkZ5SkvwEjcKbw,2022,2022 NVKBA Season Opener,Tidal Potomac River,https://share.fishingchaos.com/tournament/Z3Y3tOOkZ5SkvwEjcKbw,2022-04-09
tl5Rh48D3421KjaglLJY,2022,2022 NVKBA Trail Stop #2,Lake Anna,https://share.fishingchaos.com/tournament/tl5Rh48D3421KjaglLJY,2022-05-14
vRN3Wgvgj2wyhpVzxFLR,2022,2022 NVKBA Trail Stop #3 (Bronzeback Yak Challenge),Shenandoah River,https://share.fishingchaos.com/tournament/vRN3Wgvgj2wyhpVzxFLR,2022-06-18
5sMlxu27NwKoFExhm7PR,2022,2022 NVKBA Trail Stop #4 (Battle of Five Lakes),Multiple (Battle of Five Lakes),https://share.fishingchaos.com/tournament/5sMlxu27NwKoFExhm7PR,2022-07-23
n2SGadLdqakVSonnjEB6,2022,2022 NVKBA Trail Stop #5 (One Night Stand),Tidal Potomac River,https://share.fishingchaos.com/tournament/n2SGadLdqakVSonnjEB6,2022-08-20
mnuPgJQDvaoA7ewIAWf3,2022,2022 NVKBA Classic,Lake Frederick,https://share.fishingchaos.com/tournament/mnuPgJQDvaoA7ewIAWf3,2022-11-05
7ME7Een7ebmcPFOFWMwc,2023,2023 NVKBA Season Opener,Lake Anna,https://share.fishingchaos.com/tournament/7ME7Een7ebmcPFOFWMwc,2023-04-08
oOMMGJ2tKP2fVBa1op81,2023,2023 NVKBA Trail Stop #2 (Tidal Throwdown I),Tidal Potomac River,https://share.fishingchaos.com/tournament/oOMMGJ2tKP2fVBa1op81,2023-04-29
RRC4VejuOhwhaPPqey6O,2023,2023 NVKBA Trail Stop #3 (Bronzeback Yak Challenge),Shenandoah River,https://share.fishingchaos.com/tournament/RRC4VejuOhwhaPPqey6O,2023-05-20
