year,series_name,share_url
2021,2021 NVKBA Trail Series,https://share.fishingchaos.com/club/OXYG1jN8sdT3qb0zK6ao/tournament-series/3dgcbsNo4IHujQNp20F7
2022,2022 NVKBA Trail Series,https://share.fishingchaos.com/club/OXYG1jN8sdT3qb0zK6ao/tournament-series/zLud5Se5r6SURcjbdnN5
2023,2023 NVKBA Trail Series,https://share.fishingchaos.com/club/OXYG1jN8sdT3qb0zK6ao/tournament-series/feRurJNqpQ98wWIMuSjo
2024,2024 NVKBA Trail Series,https://share.fishingchaos.com/club/OXYG1jN8sdT3qb0zK6ao/tournament-series/7FUru86Hm20jAfqhwCB2
2025,2025 NVKBA Trail Series,https://share.fishingchaos.com/club/OXYG1jN8sdT3qb0zK6ao/tournament-series/4gi5YEBbbq6VkxLH9C3v
